#  LAMBDA(A)    ALB(GAL)     EXT(GAL)     ALB(LMC)     EXT(LMC)     ALB(SMC)     EXT(SMC)
  2.06000E+03  4.72355E-01  2.27876E+00  6.50889E-01  2.41188E+00  7.94273E-01  2.52773E+00
  2.06250E+03  4.72011E-01  2.28316E+00  6.50956E-01  2.41212E+00  7.95129E-01  2.52432E+00
  2.06500E+03  4.71668E-01  2.28757E+00  6.51023E-01  2.41235E+00  7.95984E-01  2.52092E+00
  2.06750E+03  4.71325E-01  2.29198E+00  6.51090E-01  2.41259E+00  7.96840E-01  2.51752E+00
  2.07000E+03  4.70983E-01  2.29640E+00  6.51157E-01  2.41282E+00  7.97695E-01  2.51414E+00
  2.07250E+03  4.70642E-01  2.30082E+00  6.51224E-01  2.41305E+00  7.98550E-01  2.51076E+00
  2.07500E+03  4.70302E-01  2.30524E+00  6.51290E-01  2.41329E+00  7.99405E-01  2.50739E+00
  2.07750E+03  4.69962E-01  2.30967E+00  6.51357E-01  2.41352E+00  8.00260E-01  2.50403E+00
  2.08000E+03  4.69623E-01  2.31410E+00  6.51424E-01  2.41375E+00  8.01114E-01  2.50068E+00
  2.08250E+03  4.69284E-01  2.31853E+00  6.51490E-01  2.41399E+00  8.01969E-01  2.49734E+00
  2.08500E+03  4.68946E-01  2.32296E+00  6.51557E-01  2.41422E+00  8.02824E-01  2.49400E+00
  2.08750E+03  4.68609E-01  2.32740E+00  6.51623E-01  2.41445E+00  8.03678E-01  2.49068E+00
  2.09000E+03  4.68272E-01  2.33184E+00  6.51690E-01  2.41468E+00  8.04532E-01  2.48736E+00
  2.09250E+03  4.67936E-01  2.33629E+00  6.51756E-01  2.41492E+00  8.05386E-01  2.48405E+00
  2.09500E+03  4.67601E-01  2.34073E+00  6.51822E-01  2.41515E+00  8.06240E-01  2.48075E+00
  2.09750E+03  4.67266E-01  2.34518E+00  6.51888E-01  2.41538E+00  8.07094E-01  2.47746E+00
  2.10000E+03  4.66932E-01  2.34964E+00  6.51954E-01  2.41561E+00  8.07948E-01  2.47418E+00
  2.10250E+03  4.66907E-01  2.35155E+00  6.52117E-01  2.41347E+00  8.08783E-01  2.46834E+00
  2.10500E+03  4.66882E-01  2.35346E+00  6.52279E-01  2.41134E+00  8.09617E-01  2.46252E+00
  2.10750E+03  4.66858E-01  2.35537E+00  6.52442E-01  2.40921E+00  8.10452E-01  2.45673E+00
